id,name,price,category_id,image_url
1,Product_1866,728.57,77,https://picsum.photos/id/525/230/395
2,Product_1867,953.29,54,https://picsum.photos/id/921/445/287
3,Product_1868,134.01,81,https://picsum.photos/id/590/402/408
4,Product_1869,347.88,84,https://picsum.photos/id/306/279/797
5,Product_1870,496.27,10,https://picsum.photos/id/502/274/478
6,Product_1871,56.14,32,https://picsum.photos/id/178/745/250
7,Product_1872,884.51,82,https://picsum.photos/id/342/516/388
8,Product_1873,228.1,65,https://picsum.photos/id/693/657/272
9,Product_1874,287.88,7,https://picsum.photos/id/313/670/645
10,Product_1875,62.79,13,https://picsum.photos/id/136/761/790
11,Product_1876,607.62,59,https://picsum.photos/id/884/433/722
12,Product_1877,761.07,7,https://picsum.photos/id/406/746/270
13,Product_1878,955.85,24,https://picsum.photos/id/526/639/364
14,Product_1879,615.81,34,https://picsum.photos/id/101/478/790
15,Product_1880,476.2,18,https://picsum.photos/id/671/573/744
16,Product_1881,963.32,12,https://picsum.photos/id/679/689/233
17,Product_1882,89.85,10,https://picsum.photos/id/379/748/394
18,Product_1883,19.44,71,https://picsum.photos/id/274/359/736
19,Product_1884,739.45,14,https://picsum.photos/id/538/412/792
20,Product_1885,566.48,72,https://picsum.photos/id/186/216/520
21,Product_1886,605.29,89,https://picsum.photos/id/926/269/540
22,Product_1887,566.56,10,https://picsum.photos/id/550/374/657
23,Product_1888,253.71,36,https://picsum.photos/id/476/569/705
24,Product_1889,166.42,17,https://picsum.photos/id/237/705/306
25,Product_1890,864.98,61,https://picsum.photos/id/49/774/207
26,Product_1891,534.34,83,https://picsum.photos/id/442/598/377
27,Product_1892,524.29,87,https://picsum.photos/id/592/658/456
28,Product_1893,153.84,98,https://picsum.photos/id/669/344/671
29,Product_1894,737.47,56,https://picsum.photos/id/876/229/232
30,Product_1895,724.14,52,https://picsum.photos/id/248/503/791
31,Product_1896,881.74,52,https://picsum.photos/id/604/353/277
32,Product_1897,860.22,54,https://picsum.photos/id/957/342/393
33,Product_1898,882.32,64,https://picsum.photos/id/105/309/379
34,Product_1899,362,14,https://picsum.photos/id/411/673/754
